AK-501,Alaska,alaskabalanceofstate,aleutians
AK-501,Alaska,alaskabalanceofstate,aleutians
AK-501,Alaska,alaskabalanceofstate,anchorage
AK-501,Alaska,alaskabalanceofstate,bethel
AK-501,Alaska,alaskabalanceofstate,bristolbay
AK-501,Alaska,alaskabalanceofstate,denali
AK-501,Alaska,alaskabalanceofstate,dillingham
AK-501,Alaska,alaskabalanceofstate,fairbanksstar
AK-501,Alaska,alaskabalanceofstate,haines
AK-501,Alaska,alaskabalanceofstate,hoonah-angoon
AK-501,Alaska,alaskabalanceofstate,juneau
AK-501,Alaska,alaskabalanceofstate,kenai
AK-501,Alaska,alaskabalanceofstate,ketchikangateway
AK-501,Alaska,alaskabalanceofstate,kodiakisland
AK-501,Alaska,alaskabalanceofstate,kusilvak
AK-501,Alaska,alaskabalanceofstate,lake
AK-501,Alaska,alaskabalanceofstate,matanuska-susitna
AK-501,Alaska,alaskabalanceofstate,nome
AK-501,Alaska,alaskabalanceofstate,slope
AK-501,Alaska,alaskabalanceofstate,arctic
AK-501,Alaska,alaskabalanceofstate,petersburg
AK-501,Alaska,alaskabalanceofstate,princeofwales-hyder
AK-501,Alaska,alaskabalanceofstate,sitka
AK-501,Alaska,alaskabalanceofstate,skagway
AK-501,Alaska,alaskabalanceofstate,fairbanks
AK-501,Alaska,alaskabalanceofstate,wrangell
AK-501,Alaska,alaskabalanceofstate,yakutat
AK-501,Alaska,alaskabalanceofstate,yukon-koyukuk
AK-501,Alaska,alaskabalanceofstate,chugach
AK-501,Alaska,alaskabalanceofstate,copperriver
AL-500,Alabama,shelby,shelby
AL-500,Alabama,st.clair,st.clair
AL-500,Alabama,jefferson,jefferson
AL-500,Alabama,birmingham,jefferson
AL-501,Alabama,baldwin,baldwin
AL-501,Alabama,mobile,mobile
AL-502,Alabama,florence,lauderdale
AL-503,Alabama,huntsville,madison
AL-504,Alabama,montgomery,montgomery
AL-505,Alabama,gadsden,etowah
AL-506,Alabama,tuscaloosa,tuscaloosa
AL-507,Alabama,alabamabalanceofstate,autauga
AL-507,Alabama,alabamabalanceofstate,barbour
AL-507,Alabama,alabamabalanceofstate,bibb
AL-507,Alabama,alabamabalanceofstate,blount
AL-507,Alabama,alabamabalanceofstate,bullock
AL-507,Alabama,alabamabalanceofstate,butler
AL-507,Alabama,alabamabalanceofstate,calhoun
AL-507,Alabama,alabamabalanceofstate,chambers
AL-507,Alabama,alabamabalanceofstate,cherokee
