,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,AK-501,Alaska,alaskabalanceofstate,aleutians,826,none,625,18,505,10,61,2,135,3,397,1080,344,1664
1,AK-501,Alaska,alaskabalanceofstate,anchorage,826,1451.2810575856668,26920,9,none,none,11299,45842,,,,,,
2,AK-501,Alaska,alaskabalanceofstate,bethel,826,none,4496,24,900,13,1808,4674,,,,,,
3,AK-501,Alaska,alaskabalanceofstate,bristolbay,826,none,93,11,25,5,34,194,,,,,,
4,AK-501,Alaska,alaskabalanceofstate,denali,826,none,115,7,85,10,27,504,,,,,,
5,AK-501,Alaska,alaskabalanceofstate,dillingham,826,none,1033,21,140,8,388,1151,,,,,,
6,AK-501,Alaska,alaskabalanceofstate,fairbanksstar,826,1448.1847801329156,7247,7,2326,5,3393,15698,,,,,,
7,AK-501,Alaska,alaskabalanceofstate,haines,826,none,223,10,116,11,33,564,,,,,,
8,AK-501,Alaska,alaskabalanceofstate,hoonah-angoon,826,none,395,17,107,9,119,694,,,,,,
9,AK-501,Alaska,alaskabalanceofstate,juneau,826,none,2378,7,none,none,1049,4791,,,,,,
10,AK-501,Alaska,alaskabalanceofstate,kenai,826,nan,6729,11,2030,7,2497,12743,,,,,,
11,AK-501,Alaska,alaskabalanceofstate,ketchikangateway,826,none,1529,11,484,7,591,2829,,,,,,
12,AK-501,Alaska,alaskabalanceofstate,kodiakisland,826,none,1072,8,394,6,847,2508,,,,,,
13,AK-501,Alaska,alaskabalanceofstate,kusilvak,826,none,2534,30,461,19,833,2266,,,,,,
14,AK-501,Alaska,alaskabalanceofstate,lake,826,none,290,20,57,8,68,258,,,,,,
15,AK-501,Alaska,alaskabalanceofstate,matanuska-susitna,826,none,11453,10,3395,6,4384,23039,,,,,,
16,AK-501,Alaska,alaskabalanceofstate,nome,826,none,1920,19,393,9,695,2451,,,,,,
17,AK-501,Alaska,alaskabalanceofstate,slope,826,none,1354,12,189,6,865,2904,,,,,,
18,AK-501,Alaska,alaskabalanceofstate,arctic,826,none,1560,20,329,11,673,2020,,,,,,
19,AK-501,Alaska,alaskabalanceofstate,petersburg,826,none,269,8,113,7,216,788,,,,,,
20,AK-501,Alaska,alaskabalanceofstate,princeofwales-hyder,826,none,859,15,228,8,319,1588,,,,,,
21,AK-501,Alaska,alaskabalanceofstate,sitka,826,none,717,8,none,none,316,1546,,,,,,
22,AK-501,Alaska,alaskabalanceofstate,skagway,826,none,69,6,87,13,101,356,,,,,,
23,AK-501,Alaska,alaskabalanceofstate,fairbanks,826,none,890,12,214,6,332,1704,,,,,,
24,AK-501,Alaska,alaskabalanceofstate,wrangell,826,none,231,11,none,none,238,578,,,,,,
25,AK-501,Alaska,alaskabalanceofstate,yakutat,826,none,86,12,none,none,21,173,,,,,,
26,AK-501,Alaska,alaskabalanceofstate,yukon-koyukuk,826,none,1240,23,299,12,448,1471,,,,,,
27,AK-501,Alaska,alaskabalanceofstate,chugach,826,none,530,7,79,2,none,none,,,,,,
28,AK-501,Alaska,alaskabalanceofstate,copperriver,826,none,375,14,41,3,none,none,,,,,,
29,AL-500,Alabama,shelby,shelby,943,1373.730079599944,17306,7,2519,2,9632,29933,,,,,,
30,AL-500,Alabama,st.clair,st.clair,943,none,11652,12,1079,2,8873,22302,,,,,,
31,AL-500,Alabama,jefferson,jefferson,943,1165.2496924523912,110131,16,11361,3,41479,121180,,,,,,
32,AL-500,Alabama,birmingham,jefferson,943,1165.2496924523912,110131,16,11361,3,41479,121180,,,,,,
33,AL-501,Alabama,baldwin,baldwin,585,1449.1349508954345,25526,10,2919,2,14555,44342,,,,,,
34,AL-501,Alabama,mobile,mobile,585,1032.782957632077,74061,18,8806,4,34027,95988,,,,,,
35,AL-502,Alabama,florence,lauderdale,232,nan,14838,16,1320,3,7275,22572,,,,,,
36,AL-503,Alabama,huntsville,madison,549,1313.8636713646206,39316,10,5060,2,21084,50364,,,,,,
37,AL-504,Alabama,montgomery,montgomery,278,1076.0199936406343,47309,21,5009,4,18715,39384,,,,,,
38,AL-505,Alabama,gadsden,etowah,190,nan,17605,17,1576,4,10014,24491,,,,,,
39,AL-506,Alabama,tuscaloosa,tuscaloosa,40,1228.4957032970583,31735,14,3593,3,14563,41868,,,,,,
40,AL-507,Alabama,alabamabalanceofstate,autauga,935,nan,6296,10,736,2,4126,12977,,,,,,
41,AL-507,Alabama,alabamabalanceofstate,barbour,935,none,5089,23,459,5,4378,6600,,,,,,
42,AL-507,Alabama,alabamabalanceofstate,bibb,935,none,4204,20,294,3,3125,7052,,,,,,
43,AL-507,Alabama,alabamabalanceofstate,blount,935,none,6992,12,598,2,6650,14284,,,,,,
44,AL-507,Alabama,alabamabalanceofstate,bullock,935,none,2764,32,182,3,1540,2841,,,,,,
45,AL-507,Alabama,alabamabalanceofstate,butler,935,none,4226,22,452,5,1932,6050,,,,,,
46,AL-507,Alabama,alabamabalanceofstate,calhoun,935,nan,21630,19,1871,4,11867,27783,,,,,,
47,AL-507,Alabama,alabamabalanceofstate,chambers,935,none,6699,19,570,3,4275,8996,,,,,,
48,AL-507,Alabama,alabamabalanceofstate,cherokee,935,none,4513,18,296,2,3720,6809,,,,,,
49,AL-507,Alabama,alabamabalanceofstate,chilton,935,nan,6973,15,561,2,5569,13113,,,,,,
50,AL-507,Alabama,alabamabalanceofstate,choctaw,935,none,2893,23,197,4,1802,3477,,,,,,
51,AL-507,Alabama,alabamabalanceofstate,clarke,935,none,4366,19,450,5,2892,6740,,,,,,
52,AL-507,Alabama,alabamabalanceofstate,clay,935,none,2560,18,164,2,1694,3813,,,,,,
53,AL-507,Alabama,alabamabalanceofstate,cleburne,935,none,2236,15,152,2,1789,3958,,,,,,
54,AL-507,Alabama,alabamabalanceofstate,coffee,935,1021.9685762793068,8516,15,607,2,4934,10108,,,,,,
55,AL-507,Alabama,alabamabalanceofstate,colbert,935,nan,9396,16,919,3,5333,15244,,,,,,
56,AL-507,Alabama,alabamabalanceofstate,conecuh,935,none,2528,22,208,4,1077,4200,,,,,,
57,AL-507,Alabama,alabamabalanceofstate,coosa,935,none,1754,17,133,3,1217,3410,,,,,,
58,AL-507,Alabama,alabamabalanceofstate,covington,935,none,7317,19,458,3,3915,10037,,,,,,
59,AL-507,Alabama,alabamabalanceofstate,crenshaw,935,none,2267,17,202,3,1742,3882,,,,,,
60,AL-507,Alabama,alabamabalanceofstate,cullman,935,none,11898,13,911,2,9560,19624,,,,,,
61,AL-507,Alabama,alabamabalanceofstate,dale,935,nan,7587,15,659,3,5093,10376,,,,,,
62,AL-507,Alabama,alabamabalanceofstate,dallas,935,none,10914,29,988,7,3709,10065,,,,,,
63,AL-507,Alabama,alabamabalanceofstate,dekalb,935,none,13783,19,787,2,10522,16172,,,,,,
64,AL-507,Alabama,alabamabalanceofstate,elmore,935,nan,10138,12,1013,2,7459,19351,,,,,,
65,AL-507,Alabama,alabamabalanceofstate,escambia,935,none,8147,23,566,4,4697,11249,,,,,,
66,AL-507,Alabama,alabamabalanceofstate,fayette,935,none,3123,19,203,3,1951,4714,,,,,,
67,AL-507,Alabama,alabamabalanceofstate,franklin,935,none,5995,18,362,2,4381,9016,,,,,,
68,AL-507,Alabama,alabamabalanceofstate,geneva,935,none,5566,21,307,2,3294,6879,,,,,,
