CoC Code,State Name,CoC Name,County Name,Homeless Count,Avg. Rent Price,Poverty Count,Poverty Pct.,Unemployed Count,Unemployed Pct.,Education Count No HS Diploma,Education Count No College
AK-501,Alaska,alaskabalanceofstate,fairbanks,826,none,890,12,214,6,332,1704
AK-501,Alaska,alaskabalanceofstate,wrangell,826,none,231,11,none,none,238,578
AK-501,Alaska,alaskabalanceofstate,yakutat,826,none,86,12,none,none,21,173
AK-501,Alaska,alaskabalanceofstate,yukon-koyukuk,826,none,1240,23,299,12,448,1471
AK-501,Alaska,alaskabalanceofstate,chugach,826,none,530,7,79,2,none,none
AK-501,Alaska,alaskabalanceofstate,copperriver,826,none,375,14,41,3,none,none
AL-500,Alabama,shelby,shelby,943,1373.73008,17306,7,2519,2,9632,29933
AL-500,Alabama,st.clair,st.clair,943,none,11652,12,1079,2,8873,22302
AL-500,Alabama,jefferson,jefferson,943,1165.249692,110131,16,11361,3,41479,121180
AL-500,Alabama,birmingham,jefferson,943,1165.249692,110131,16,11361,3,41479,121180
AL-501,Alabama,baldwin,baldwin,585,1449.134951,25526,10,2919,2,14555,44342
AL-501,Alabama,mobile,mobile,585,1032.782958,74061,18,8806,4,34027,95988
AL-502,Alabama,florence,lauderdale,232,none,14838,16,1320,3,7275,22572
AL-503,Alabama,huntsville,madison,549,1313.863671,39316,10,5060,2,21084,50364
AL-504,Alabama,montgomery,montgomery,278,1076.019994,47309,21,5009,4,18715,39384
AL-505,Alabama,gadsden,etowah,190,none,17605,17,1576,4,10014,24491
AL-506,Alabama,tuscaloosa,tuscaloosa,40,1228.495703,31735,14,3593,3,14563,41868
AL-507,Alabama,alabamabalanceofstate,autauga,935,none,6296,10,736,2,4126,12977
AL-507,Alabama,alabamabalanceofstate,barbour,935,none,5089,23,459,5,4378,6600
AL-507,Alabama,alabamabalanceofstate,bibb,935,none,4204,20,294,3,3125,7052
AL-507,Alabama,alabamabalanceofstate,blount,935,none,6992,12,598,2,6650,14284
AL-507,Alabama,alabamabalanceofstate,bullock,935,none,2764,32,182,3,1540,2841
AL-507,Alabama,alabamabalanceofstate,butler,935,none,4226,22,452,5,1932,6050
AL-507,Alabama,alabamabalanceofstate,calhoun,935,none,21630,19,1871,4,11867,27783
AL-507,Alabama,alabamabalanceofstate,chambers,935,none,6699,19,570,3,4275,8996
AL-507,Alabama,alabamabalanceofstate,cherokee,935,none,4513,18,296,2,3720,6809
AL-507,Alabama,alabamabalanceofstate,chilton,935,none,6973,15,561,2,5569,13113
AL-507,Alabama,alabamabalanceofstate,choctaw,935,none,2893,23,197,4,1802,3477
AL-507,Alabama,alabamabalanceofstate,clarke,935,none,4366,19,450,5,2892,6740
AL-507,Alabama,alabamabalanceofstate,clay,935,none,2560,18,164,2,1694,3813
AL-507,Alabama,alabamabalanceofstate,cleburne,935,none,2236,15,152,2,1789,3958
AL-507,Alabama,alabamabalanceofstate,coffee,935,1021.968576,8516,15,607,2,4934,10108
AL-507,Alabama,alabamabalanceofstate,colbert,935,none,9396,16,919,3,5333,15244
AL-507,Alabama,alabamabalanceofstate,conecuh,935,none,2528,22,208,4,1077,4200
AL-507,Alabama,alabamabalanceofstate,coosa,935,none,1754,17,133,3,1217,3410
AL-507,Alabama,alabamabalanceofstate,covington,935,none,7317,19,458,3,3915,10037
AL-507,Alabama,alabamabalanceofstate,crenshaw,935,none,2267,17,202,3,1742,3882
AL-507,Alabama,alabamabalanceofstate,cullman,935,none,11898,13,911,2,9560,19624
AL-507,Alabama,alabamabalanceofstate,dale,935,none,7587,15,659,3,5093,10376
AL-507,Alabama,alabamabalanceofstate,dallas,935,none,10914,29,988,7,3709,10065
AL-507,Alabama,alabamabalanceofstate,dekalb,935,none,13783,19,787,2,10522,16172
AL-507,Alabama,alabamabalanceofstate,elmore,935,none,10138,12,1013,2,7459,19351
AL-507,Alabama,alabamabalanceofstate,escambia,935,none,8147,23,566,4,4697,11249
AL-507,Alabama,alabamabalanceofstate,fayette,935,none,3123,19,203,3,1951,4714
AL-507,Alabama,alabamabalanceofstate,franklin,935,none,5995,18,362,2,4381,9016
AL-507,Alabama,alabamabalanceofstate,geneva,935,none,5566,21,307,2,3294,6879
